episode,hic15_median,hic15_mean,hic15_median_excl_explosion
100,2903888.6365286727,11187800.106891785,14375.069254215903
200,2131765.7357851025,7962330.257099662,15090.492031692864
300,48282.53298338042,7022722.068450953,14804.342107798284
400,3946552.0634747185,9522505.204756308,14752.217321358694
500,824071.4796407309,9726960.989689605,14461.536738901992
600,1365080.840880518,12290660.6395856,14782.271230787494
700,3279319.021476498,9276989.9455273,14595.391125182465
800,1324476.9592286637,10853060.16142995,15071.407351195528
900,1836783.701624728,12315444.119491018,14882.931853578695
