episode,hic15_median,chest_g_median,hic15_mean,chest_g_mean,hic15_median_excl_explosion,is_explosion
100,597160.3172984535,2558.9046373279816,10463114.765490338,11419.722611951294,14434.094307842965,0.5
200,337150.114459993,2755.8862528669724,9295421.512623483,10642.991446367705,15587.424675749937,0.5
