episode,hic15_median,chest_g_median,hic15_mean,chest_g_mean,hic15_median_excl_explosion,is_explosion
100,5803562.297869267,11205.017600025483,14573175.520670466,14583.450338163382,14770.645040537553,0.59
200,2500887.271406881,4916.429145960754,9597792.591827573,11943.377655931446,14959.31044743877,0.52
