episode,hic15_median,chest_g_median,hic15_mean,chest_g_mean,hic15_median_excl_explosion,is_explosion
100,1631793.0138842706,5937.905557148319,12581919.934531126,13179.607321331869,14436.042810259505,0.52
200,29515.309290587586,1936.7261165265033,10758875.643441092,11097.27430704877,14847.20641068622,0.44
300,31831.14875638079,2470.833831071611,10895775.339541053,11666.783721270547,14927.779204547518,0.48
400,18939.485075575467,1337.0465604294086,6230306.8409368135,8070.710642838939,14986.940560752202,0.38
500,1922642.8486826369,4400.154896151886,16325133.247050637,12028.6957923197,14862.011377755895,0.53
600,1183722.8455683845,3274.371754746432,10246410.383663151,12596.086857818074,14056.43656020356,0.51
700,21913.204499702868,1968.096469641947,20513130.816215027,10572.619161032268,14612.643137868898,0.45
800,3769637.665759511,9846.496718909275,14763229.037099022,13992.358503958012,15544.323301309245,0.57
900,25259.523386359237,1914.1407444571864,10506718.653195119,10632.517351156344,15058.058409284306,0.44
1000,29057.909252424117,2010.992848496432,9826183.403765714,11177.50850883585,15313.999562036364,0.45
100,34751.526298312034,13982718.235938406,14578.077340647573,0.55
200,2539699.896551868,10318345.561117534,14388.68081239014,0.6
300,2648916.496242889,12697568.8620712,15019.369885986474,0.68
400,6500559.890375117,13538296.635575192,15109.56927069211,0.63
500,33675.80562652607,10543688.589447297,14675.857536486845,0.58
600,29890.177780143735,8307841.964062062,15649.934600852193,0.59
700,39324.525275281616,8881631.496926807,14192.536278927157,0.58
800,3995129.912621927,9813803.59266474,15545.079223850127,0.62
900,1719203.2761150345,13861945.876825178,14618.059467343623,0.61
